LLWearable version 22
Jazzy shape

	permissions 0
	{
		base_mask	00082000
		owner_mask	00082000
		group_mask	00000000
		everyone_mask	00000000
		next_owner_mask	00082000
		creator_id	00000000-0000-0000-0000-000000000000
		owner_id	908a62c0-10fe-42fd-b877-5782d673ae22
		last_owner_id	908a62c0-10fe-42fd-b877-5782d673ae22
		group_id	00000000-0000-0000-0000-000000000000
	}
	sale_info	0
	{
		sale_type	not
		sale_price	10
	}
type 0
parameters 141
1 -.23
2 -.14
4 -.5
5 -.1
6 .49
7 -.4
8 -.08
10 -.19
11 .06
12 .22
13 0
14 .52
15 0
17 .29
18 1.3
19 .2
20 -.28
21 -.2
22 0
23 -.18
24 -.31
25 -.8
26 .1
27 -.05
28 0
29 -.12
30 -.12
32 0
33 .71
34 -.46
35 0
36 -.52
37 .7
38 -.34
40 0
80 0
100 0
104 0
105 .66
106 0
151 .37
152 .09
153 0
155 -.26
156 0
157 0
185 -.82
186 .26
187 .14
188 0
189 .28
193 .64
194 .24
195 .12
196 -.32
505 .43
506 -.84
507 .63
515 -1
517 .17
518 -.3
626 .32
627 0
629 .05
630 .9
631 0
633 .09
634 .09
635 .09
637 .09
646 .26
647 .14
648 .29
649 .39
650 -.8
651 0
652 .53
653 .41
655 -.11
656 0
657 0
658 .14
659 .44
660 0
661 0
662 .5
663 0
664 0
665 .04
675 -.18
676 -.31
677 0
678 .5
679 -.11
680 -.11
681 -.11
682 .39
683 -.17
684 .26
685 0
686 -.24
687 -.03
688 -.03
689 -.12
690 .44
691 -.03
692 -.46
693 .48
694 -.11
695 -.03
753 .23
756 -.3
758 .45
759 .3
760 .4
764 0
765 -.3
767 -1.12
768 -1.12
769 .22
770 .02
772 .02
773 .51
794 0
795 .56
796 0
797 0
798 .15
799 .55
841 0
842 -.1
843 0
853 0
854 .23
855 -.31
879 0
880 -.87
1103 0
1104 0
1105 0
11001 0
textures 0
